district,uspdem01,usprep01
01,243744.63529679697,223427.08166743844
02,317706.5921724215,302416.1031178481
03,203878.86129438915,195559.57598004548
04,205020.29840836252,163946.29802655816
05,243995.89914455873,317274.1331053659
06,175021.5601474489,154837.4496513186
07,187744.0692932364,158231.81050323718
08,218202.4410001565,123558.91945217206
09,157030.45266163937,122738.76053452244
10,236047.72322000252,133232.96128155594
11,290544.21477765427,65419.947565787035
12,277177.31424330117,42207.05336858256
13,217058.1423245375,176881.9446250134
14,189543.41285862654,100614.7678694356
15,226650.86228438347,91345.70968896137
16,238258.21531024872,93880.56859102892
17,177265.38980242622,83527.34922509376
18,192148.47347753556,124543.85457737694
19,297139.3621358948,169500.71083899666
20,111213.89945775259,224839.88725399174
21,98051.73930921739,88106.40229122662
22,87939.1884920042,91812.93179375648
23,103693.15523702497,158951.2369755508
24,221847.85002016617,149839.51004512174
25,143795.42576347853,132644.18207302803
26,217962.85548707246,166076.64191680073
27,151778.10465201404,131573.20690956514
28,192335.66790550662,122408.50898041646
29,151258.9673963284,74362.70597252923
30,233700.96955664328,96818.81113564063
31,150919.42632799988,126893.51071393781
32,212566.151026134,135111.8644750837
33,124004.5429415218,105473.96132190454
34,151201.3299701741,48920.08313947938
35,130031.49065125946,115229.13748165577
36,248430.34942306115,125036.34077925225
37,176619.30168260046,45423.40196905927
38,139032.29812671067,116232.07510993755
39,125038.72687583641,105487.96598245382
40,158226.01149306996,213092.12708294674
41,165981.49893879276,134765.16443621196
42,196437.4391772422,160454.87200654997
43,155021.39490850264,56357.33521370855
44,137607.3242229728,68449.1864672536
45,154378.44879100885,142823.36288020795
46,128674.4845128776,93583.06050879555
47,185543.68926663804,166666.9747611227
48,173515.36187539797,164849.07178149914
49,201786.84749531513,178479.05827661726
50,208767.93406517868,158829.57188650835
51,220771.2964169692,158750.89469016183
52,163277.71133350243,113464.15518522004
